CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
H4LA03069,"TAUZIN, WILBERT J III",LA,TAUZIN,WILBERT,J III,,1140,1794,,
H8NC11038,"TAYLOR, CHARLES H",NC,TAYLOR,CHARLES,H,,1141,1795,,
H8NC11038,"TAYLOR, CHARLES HART",NC,TAYLOR,CHARLES,HART,,1141,1795,,
H2MO06038,"TAYLOR, REX S (BARRY)",MO,TAYLOR,REX,S (BARRY),,1143,1796,,
H6MO07045,"TAYLOR, GENE",MO,TAYLOR,GENE,,,1143,1796,,
H2MS01072,"TAYLOR, HAROLD M.",MS,TAYLOR,HAROLD,M.,,1142,1797,Democrat,1
H8MS05047,"TAYLOR, GARY EUGENE",MS,TAYLOR,GARY,EUGENE,,1142,1797,Democrat,1
H8MS05047,"TAYLOR, GARY EUGENE (GENE)",MS,TAYLOR,GARY,EUGENE (GENE),,1142,1797,Democrat,1
H8MS05047,"TAYLOR, GENE",MS,TAYLOR,GENE,,,1142,1797,Democrat,1
H8MS05047,"TAYLOR, GENE MR.",MS,TAYLOR,GENE,MR.,,1142,1797,Democrat,1
H8NM02032,"TEAGUE, HARRY",NM,TEAGUE,HARRY,,,1938,1798,,
H2TX28016,"TEJEDA, FRANK M",TX,TEJEDA,FRANK,M,,1147,1799,,
H8NE02139,"TERRY, LEE",NE,TERRY,LEE,,,1566,1800,Republican,-1
H8NE02139,"TERRY, LEE R",NE,TERRY,LEE,R,,1566,1800,Republican,-1
H8WY00106,"THOMAS, CRAIG",WY,THOMAS,CRAIG,,,1149,1801,,
H8WY00106,"THOMAS, CRAIG LYLE",WY,THOMAS,CRAIG,LYLE,,1149,1801,,
S4WY00055,"THOMAS, CRAIG",WY,THOMAS,CRAIG,,,1149,1801,,
H8GA12037,"THOMAS, REGINA D",GA,THOMAS,REGINA,D,,1150,1802,,
H8CA18020,"THOMAS, WILLIAM M",CA,THOMAS,WILLIAM,M,,1148,1803,,
H8CA18020,"THOMAS, WILLIAM MARSHALL",CA,THOMAS,WILLIAM,MARSHALL,,1148,1803,,
H6NJ04026,"THOMPSON, FRANK JR",NJ,THOMPSON,FRANK,JR,,1152,1804,,
S4TN00138,"THOMPSON, FRED DALTON",TN,THOMPSON,FRED,DALTON,,1447,1805,,
H6AR04019,"THORNTON, RAY",AR,THORNTON,RAY,,,1156,1806,,
H2FL06067,"THURMAN, KAREN L",FL,THURMAN,KAREN,L,,1157,1808,,
S8SC00019,"THURMOND, STROM",SC,THURMOND,STROM,,,1448,1809,,
H4KS04087,"TIAHRT, TODD",KS,TIAHRT,TODD,,,1158,1810,,
H4KS04087,"TIAHRT, TODD W.",KS,TIAHRT,TODD,W.,,1158,1810,,
H4KS04087,"TIAHRT, W TODD",KS,TIAHRT,W,TODD,,1158,1810,,
H4KS04087,"TIAHRT, W. TODD",KS,TIAHRT,W.,TODD,,1158,1810,,
S0KS00109,"TIAHRT, TODD",KS,TIAHRT,TODD,,,1158,1810,,
H4MA06033,"TIERNEY, JOHN F",MA,TIERNEY,JOHN,F,,1535,1811,,
H2MA06045,"TORKILDSEN, PETER G",MA,TORKILDSEN,PETER,G,,1161,1813,Republican,-1
H2NJ09016,"TORRICELLI, ROBERT G",NJ,TORRICELLI,ROBERT,G,,1163,1815,,
S6NJ00172,"TORRICELLI, ROBERT G",NJ,TORRICELLI,ROBERT,G,,1163,1815,,
S2TX00023,"TOWER, JOHN GOODWIN",TX,TOWER,JOHN,GOODWIN,,1449,1816,,
H2NY11017,"TOWNS, EDOLPHUS",NY,TOWNS,EDOLPHUS,,,1165,1817,,
H4OH17071,"TRAFICANT, JAMES A",OH,TRAFICANT,JAMES,A,,1166,1818,,
